Name,Latitude,Longitude,Address,Access
Gabby's Bistro - Paseo Perdices,9.3074394,123.3096427,"Paseo Perdices, Rizal Boulevard, Dumaguete City",customers
Grace Pharmacy,9.306088,123.305516,Governor Mariano F. Perdices Street,customers
Greenwich (Robinsons Place),9.298312,123.302937,"Robinsons Place Dumaguete, Calindagan, Dumaguete City",customers
Greenwich Perdices Street (Downtown),9.3070165,123.3075523,"G/F Ever Mall, Gov. Perdices Avenue, Dumaguete City",customers
Habibi Chicken and Habibi Ice Cream,9.299563,123.305063,"Calindagan Rd, Calindagan, Dumaguete City",customers
Harold's Dive Center,9.316313,123.307312,"205 Hibbard Avenue, Dumaguete City",public/customers
Heart Hotel,9.302688,123.307938,"Perdices St. corner Luke Wright St., Dumaguete City",customers
Henia Hotel,9.306437,123.305813,"LEU Bldg., Bishop Epifanio Surban St. cor. Real St., Dumaguete City",customers
Hotel Dumaguete,9.3213901,123.3104219,"EJ Blanco Drive, Piapi, Dumaguete City",customers
Hotel Nicanor,9.308063,123.308188,"San Jose Street, Dumaguete City",customers
Izakaya Himawari Japanese Restaurant,9.32543,123.30702,"58 Hibbard Ave, Dumaguete City",customers
Jo's Chicken Inato (Main),9.31023,123.30798,"Silliman Avenue, Dumaguete City",customers
Jollibee Dumaguete Cathedral,9.306062,123.307563,"Santa Catalina Street (corner Perdices St), Dumaguete City",public
Jollibee Dumaguete Downtown,9.308187,123.307563,"Gov. Perdices cor. San Jose Sts, Dumaguete City",customers
Jollibee Dumaguete South Road,9.299062,123.302437,"South Road Dumaguete Highway, Fronting Robinsons Dumaguete, Dumaguete City",customers
Jollibee inside Robinsons Place Mall,9.298188,123.303313,"Level 1, Robinsons Place Dumaguete, Calindagan, Dumaguete City",public
Jollibee near Negros Oriental Provincial Hospital,9.32115,123.29944,"North National Highway, Brgy. Daro, Dumaguete City",customers
Jollibee near NORSU,9.31159,123.30488,"Corner National Highway and Real Street, Dumaguete City",customers
Koze Suites,9.326812,123.302688,"L. Rovira East Road, Dumaguete City",customers
La Essencia Cafe (Hotel Essencia),9.30897,123.30567,"#39 Hotel Essencia, Real St., Dumaguete City",customers
La Mensa Bar,9.32031,123.31028,"EJ Blanco Drive, Piapi, Dumaguete City",public/customers
La Mensa Bar Lounge,9.3203894,123.3100319,"EJ Blanco Drive, Piapi, Dumaguete City",customers
La Mensa Italian Chophouse,9.3202773,123.310753,"EJ Blanco Drive, Piapi, Dumaguete City",customers
Lighthouse Point Hotel Lobby,9.32623,123.30683,"32 Hibbard Ave, Dumaguete City",public/customers
Llaollao Boulevard,9.30928,123.30928,"44 Rizal Boulevard, Dumaguete City",public
